"states","CYCLE_YEAR","tally"
"FL",2002,13
"HI",2002,265
"MD",2002,615
"DE",2004,186
"WA",2004,5841
"WI",2004,5079
"OR",2006,2632
"AK",2008,122
"AR",2008,639
"NH",2008,5274
"AZ",2010,255
"CA",2010,1133
"CO",2010,795
"IL",2010,1752
"IN",2010,3859
"MA",2010,1461
"ME",2010,182
"MI",2010,6757
"MN",2010,3449
"NJ",2010,919
"OH",2010,1391
"TX",2010,1853
"UT",2010,534
"VA",2010,4635
"WV",2010,4240
"AL",2012,1089
"CT",2012,1262
"DC",2012,36
"GA",2012,2116
"IA",2012,1220
"ID",2012,3868
"KS",2012,2186
"KY",2012,2445
"LA",2012,490
"MO",2012,645
"MS",2012,631
"MT",2012,1037
"NC",2012,3385
"ND",2012,1654
"NE",2012,751
"NM",2012,516
"NV",2012,548
"NY",2012,2460
"OK",2012,991
"PR",2012,268
"RI",2012,486
"SC",2012,2622
"SD",2012,329
"TN",2012,2880
"VI",2012,108
"VT",2012,1002
"WY",2012,259
