"","states","lake.p.criteria","lake.n.criteria","stream.n.criteria","stream.p.criteria"
"1","AL",0,0,0,0
"2","AK",0,0,0,0
"3","AZ",13,12,12,12
"4","AR",0,0,0,0
"5","CA",13,12,12,12
"6","CO",13,0,0,0
"7","CT",0,0,0,0
"8","DE",0,0,0,0
"9","FL",20,18,9,9
"10","GA",13,12,0,0
"11","HI",0,0,0,0
"12","ID",0,0,0,0
"13","IL",13,0,0,0
"14","IN",0,0,0,0
"15","IA",0,0,0,0
"16","KS",0,0,0,0
"17","KY",0,0,0,0
"18","LA",0,0,0,0
"19","ME",0,0,0,0
"20","MD",0,0,0,0
"21","MA",10,0,0,0
"22","MI",0,0,0,0
"23","MN",26,0,0,10
"24","MS",0,0,0,0
"25","MO",8,11,0,0
"26","MT",0,0,12,12
"27","NE",7,7,0,0
"28","NV",13,12,12,12
"29","NH",0,0,0,0
"30","NJ",26,3,3,24
"31","NM",10,0,0,10
"32","NY",0,0,0,0
"33","NC",0,0,0,0
"34","ND",0,0,0,0
"35","OH",0,0,0,0
"36","OK",13,0,0,12
"37","OR",13,0,0,1
"38","PA",0,0,0,0
"39","RI",26,0,0,0
"40","SC",13,12,0,0
"41","SD",0,0,0,0
"42","TN",0,0,0,0
"43","TX",0,0,0,0
"44","UT",0,0,0,0
"45","VT",13,0,0,12
"46","VA",13,0,0,0
"47","WA",1,0,0,1
"48","WV",16,0,0,0
"49","WI",14,0,0,14
"50","WY",0,0,0,0
