"","states","state.area"
"1","AL",31639.69
"2","AR",30030.6
"3","AZ",22969.91
"4","CA",59257.02
"5","CO",42050.81
"6","CT",3092.41
"7","DE",1223.92
"8","FL",30071.34
"9","GA",35683.31
"10","IA",35652.06
"11","ID",19822
"12","IL",35148.62
"13","IN",22740.15
"14","KS",52192.3
"15","KY",24639.2
"16","LA",26494.7
"17","MA",4970.15
"18","MD",6171.42
"19","ME",19419.74
"20","MI",32672.73
"21","MN",46653.18
"22","MO",42469.29
"23","MS",28459.33
"24","MT",63195.78
"25","NC",29078.43
"26","ND",42566.29
"27","NE",48639.24
"28","NH",4995.99
"29","NJ",4647.12
"30","NM",47296.28
"31","NV",12277.72
"32","NY",30025.65
"33","OH",25952.94
"34","OK",43284.15
"35","OR",44373.5
"36","PA",28113.11
"37","RI",665.34
"38","SC",18476.78
"39","SD",42603.72
"40","TN",2636945.25
"41","TX",165229
"42","UT",17106.03
"43","VA",23239.73
"44","VT",5528.43
"45","WA",28866.1
"46","WI",32435.19
"47","WV",14344.9
"48","WY",30138.37
